KAM,ACCX_F4,ACCY_F4,ACCZ_F4,GYRX_F4,GYRY_F4,GYRZ_F4,ACCX_ED,ACCY_ED,ACCZ_ED,GYRX_ED,GYRY_ED,GYRZ_ED,ACCX_C0,ACCY_C0,ACCZ_C0,GYRX_C0,GYRY_C0,GYRZ_C0,ACCX_46,ACCY_46,ACCZ_46,GYRX_46,GYRY_46,GYRZ_46,LFET_RECTUS_FEM,LEFT_VLO,LEFT_VMO,RIGHT_RECTUS_FEM,RIGHT_VLO,RIGHT_VMO
0.256628629,-0.032,0.03,0.984,1.831,8.24,-3.845,0.071,0.447,0.658,36.316,6.47,8.057,0.063,0.398,0.713,-283.081,20.447,-117.676,-0.15,-0.749,0.481,-177.246,-16.418,-13.855,-0.073568265,0.369943142,0.078500216,0.061178961,-0.13032801,-0.323519714
0.250797403,-0.041,0.024,0.981,3.967,6.958,-3.052,0.043,0.455,0.685,33.325,0.793,8.667,-0.192,0.252,0.592,-241.699,73.914,-105.286,-0.133,-0.782,0.505,-192.2,-16.052,-10.62,0.304884221,-0.337125454,-0.065866132,0.005154195,0.550739515,0.063743287
0.24594758,-0.032,0.033,0.977,1.465,6.042,-2.991,0.072,0.471,0.705,31.616,-9.766,8.911,0.063,0.398,0.713,-283.081,20.447,-117.676,-0.15,-0.749,0.481,-177.246,-16.418,-13.855,0.235372137,-0.057243803,0.401202054,0.077657197,0.33070326,-0.030601123
0.243866722,-0.057,0.028,0.991,1.038,8.362,-3.54,0.128,0.457,0.72,28.198,-18.616,9.46,0.395,0.48,0.881,-295.532,18.433,-141.052,-0.133,-0.782,0.505,-192.2,-16.052,-10.62,-0.482915349,0.045870241,-0.337612866,-0.024506085,0.445961163,-0.586782821
0.243797017,-0.054,0.013,0.988,2.136,5.798,-3.357,0.118,0.44,0.754,28.32,-19.775,7.507,0.259,0.459,0.97,-287.048,58.96,-155.945,-0.159,-0.713,0.567,-196.289,-2.197,0.427,0.389841832,0.016409037,0.316279199,0.036462254,-0.371323025,0.380920557
0.243258949,-0.043,0.008,0.991,2.441,6.165,-2.991,0.143,0.441,0.77,27.588,-15.93,5.432,0.395,0.48,0.881,-295.532,18.433,-141.052,-0.211,-0.602,0.621,-199.829,26.672,6.958,-0.390231558,-0.410778342,-0.414043435,-0.009675942,0.529786591,-0.034195264
0.241637137,-0.034,0.013,0.99,3.296,5.127,-2.93,0.153,0.461,0.792,27.71,-17.334,3.784,0.259,0.459,0.97,-287.048,58.96,-155.945,-0.159,-0.713,0.567,-196.289,-2.197,0.427,0.219925092,0.016409037,0.273819163,0.008449793,-0.507535911,0.09878527
0.237834158,-0.047,0.021,0.985,1.221,7.141,-3.174,0.135,0.486,0.835,27.1,-10.071,1.953,-0.031,0.765,0.974,-264.221,71.96,-145.142,-0.211,-0.602,0.621,-199.829,26.672,6.958,-0.683725168,-0.4844293,-0.388566579,-0.073939875,-0.19319605,-0.06384633
0.236264589,-0.04,0.013,0.977,2.014,4.028,-2.502,0.128,0.485,0.869,28.992,-7.019,1.221,-0.017,1.133,0.933,-271.912,31.982,-136.963,-0.298,-0.43,0.66,-205.2,40.955,5.981,0.830082247,0.296290254,-0.031897547,-0.004732569,-0.360844846,-0.06384633
0.233470735,-0.041,-0.001,0.979,-0.244,4.7,-2.014,0.107,0.453,0.891,30.212,-2.136,0.61,-0.031,0.765,0.974,-264.221,71.96,-145.142,-0.122,-0.347,0.745,-212.341,17.456,12.939,0.266265975,-0.322394586,-0.422535721,-0.047575183,0.047797591,0.095191424
0.231110635,-0.044,-0.012,0.993,3.479,4.456,-1.465,0.051,0.454,0.898,32.166,4.944,-1.648,-0.017,1.133,0.933,-271.912,31.982,-136.963,-0.298,-0.43,0.66,-205.2,40.955,5.981,0.019113855,0.252098618,0.103976515,0.046349034,-0.025548285,-0.049470065
0.234037131,-0.046,0.003,0.989,1.77,4.089,-1.648,0.046,0.485,0.903,33.142,9.705,-2.319,0.382,1.313,0.95,-277.771,1.953,-134.583,-0.122,-0.347,0.745,-212.341,17.456,12.939,-0.212591421,-0.101435922,-0.235708502,-0.006380349,0.089709619,0.632504475
0.241114765,-0.054,0.006,0.985,2.258,3.601,-1.038,0.034,0.49,0.912,34.18,4.272,-0.61,0.422,1.213,0.934,-275.513,38.147,-132.446,-0.051,-0.247,0.916,-205.566,13.306,36.56,0.621546248,0.222637366,0.554060409,0.087543598,0.037319756,-0.072831681
0.239017745,-0.059,0.007,0.977,1.343,2.808,-0.366,-0.043,0.481,0.922,35.156,7.69,-0.854,0.382,1.313,0.95,-277.771,1.953,-134.583,0.043,-0.059,0.994,-191.956,20.752,52.795,-0.328444894,0.178445729,-0.244200787,0.010097563,0.278313398,-0.194131554
0.238477574,-0.051,0.002,0.972,1.709,0.977,0.671,-0.018,0.447,0.926,36.438,4.15,0.061,0.422,1.213,0.934,-275.513,38.147,-132.446,-0.051,-0.247,0.916,-205.566,13.306,36.56,0.181307605,0.664554213,0.256834871,0.061178961,-0.03602612,0.405179825
0.239886038,-0.044,-0.012,0.971,-0.61,0,1.709,0.028,0.449,0.931,36.682,-4.333,2.197,0.07,1.127,0.783,-270.63,77.454,-116.272,0.043,-0.059,0.994,-191.956,20.752,52.795,0.173583955,-0.602276238,-0.448012577,-0.039336227,-0.245585913,-0.05216567
0.243723061,-0.029,-0.038,0.996,5.798,-1.16,3.418,0.049,0.461,0.889,35.645,-6.897,3.418,-0.104,0.897,0.566,-244.629,56.641,-80.139,0.326,0.028,1.052,-201.233,23.315,42.786,-0.189420979,0.414135261,0.002071044,0.001858607,-0.497057733,-0.197725694
0.249869038,-0.035,-0.007,0.999,4.7,0.122,3.357,0.032,0.532,0.909,35.217,-0.488,2.991,0.07,1.127,0.783,-270.63,77.454,-116.272,0.301,-0.254,1.114,-186.401,41.321,24.841,-0.143079843,-0.322394586,-0.515948078,-0.08547464,-0.444666841,0.471672005
0.252124707,-0.033,-0.005,0.994,5.493,-0.427,3.784,0.053,0.539,0.91,36.987,-4.395,5.554,-0.104,0.897,0.566,-244.629,56.641,-80.139,0.326,0.028,1.052,-201.233,23.315,42.786,0.080901936,0.414135261,0.282310057,-0.095361042,-0.015070278,0.033193686
0.267517338,-0.021,-0.004,0.995,7.813,-0.549,4.639,-0.059,0.521,0.942,40.71,0,7.507,0.597,0.846,0.479,-205.688,23.987,-63.049,0.301,-0.254,1.114,-186.401,41.321,24.841,-0.05812122,-0.558083636,-0.312138793,-0.136556092,0.529786591,0.015223191
0.26490571,-0.03,0.002,0.994,7.507,1.282,4.395,-0.001,0.506,0.958,41.809,-0.732,9.399,0.376,0.887,0.209,-163.818,94.177,-51.514,0.105,-0.13,1.53,-127.502,52.979,21.179,0.281713273,0.428865646,0.435168413,-0.024506085,0.309747247,0.019715778
